name,neighborhood,avg_rating,#_of_ratings,avg_cost,cash_cards?,avg_cost_2
A Velha Gruta,Chiado,3.9,108,40 € for two people (approx.),Cash and Cards accepted,40
A Nau,Almada Centro,3.7,30,40 € for two people (approx.),Cash and Cards accepted,40
Friends Bairro Alto,Bairro Alto,3.9,39,15 € for two people (approx.) with alcohol,Cash only,15
Leoneto,Paço de Arcos,3.3,6,10 € for two people (approx.),Cash only,10
O Caracol,Baixa,3.0,10,25 € for two people (approx.),Cash and Cards accepted,25
Bussaco Wine Bar - Hotel Jerónimos 8,Belém,3.2,2,20 € for two people (approx.),Cash and Cards accepted,20
O Parreirinha,Barcarena,3.8,54,60 € for two people (approx.),Cash and Cards accepted,60
Café Dilen,Moscavide,-,0,8 € for two people (approx.),Cash only,8
O Alentejanito,Brandoa,-,3,6 € for two people (approx.),Cash only,6
Casa Velha,Colares,3.0,0,10 € for two people (approx.),Cash and Cards accepted,10
Tendinha,Rossio,3.6,16,10 € for two people (approx.),Cash only,10
Pastelaria Sino Doce,Almada Centro,-,3,8 € for two people (approx.),Cash only,8
Jardim da Luz,Carnide,4.1,547,45 € for two people (approx.),Cash and Cards accepted,45
Clube Desportivo Cova da Moura - Café,Alcântara,3.0,2,10 € for two people (approx.),Cash only,10
Coffee Time,Parque das Nações,2.9,7,14 € for two people (approx.),Cash only,14
Flor do Átrio,Alfragide,3.3,7,15 € for two people (approx.),Cash only,15
Navegante Lusitano,Porto Salvo,-,1,10 € for two people (approx.),Cash only,10
Treestory,Pena,4.4,414,35 € for two people (approx.),Cash and Cards accepted,35
Italian Cousine,Prior Velho,-,0,25 € for two people (approx.),Cash and Cards accepted,25
Girasol,Rossio,2.7,31,20 € for two people (approx.),Cash and Debit Cards accepted,20
Cartel 36,Parque das Nações,4.4,842,40 € for two people (approx.),Cash and Cards accepted,40
Horta - Café,Alta de Lisboa,3.3,3,15 € for two people (approx.),Cash and Debit Cards accepted,15
Crudo - Powered by Cookoo,São Domingos de Benfica,3.8,12,20 € for two people (approx.),Cash and Cards accepted,20
Kebab do Oriente,Venteira,-,1,12 € for two people (approx.),Cash only,12
Quiosque Chelense,Marvila,3.3,3,6 € for two people (approx.),Cash only,6
Bom Petisco,Tires,3.4,6,25 € for two people (approx.),Cash only,25
Portologia,Baixa,-,1,20 € for two people (approx.) with alcohol,Cash and Debit Cards accepted,20
"Leitaria ""A Camponeza""",Baixa,3.7,12,30 € for two people (approx.),Cash and Debit Cards accepted,30
Casa Morena,Setubal Centro,3.7,13,30 € for two people (approx.),Cash and Cards accepted,30
Ciao Cuore,Massamá,4.5,"1,113",30 € for two people (approx.),Cash and Cards accepted,30
Amorim,Costa da Caparica,-,0,25 € for two people (approx.),Cash and Debit Cards accepted,25
GRANDAGALO,Algés,-,0,12 € for two people (approx.),Cash and Cards accepted,12
Burger King,Cacém,-,0,15 € for two people (approx.),Cash and Cards accepted,15
Precious,Odivelas Centro,-,0,15 € for two people (approx.),Cash only,15
Cristóvão Colombo Bar - Hotel Cascais Miragem,Cascais Centro,3.7,10,35 € for two people (approx.),Cash and Cards accepted,35
Restaurante o Carvoeiro,Campolide,3.0,7,10 € for two people (approx.),Cash only,10
Pastelaria Nanurso,Belém,3.1,2,20 € for two people (approx.),Cash only,20
Fábrica Do Gelado,Anjos,3.9,36,6 € for two people (approx.),Cash only,6
