name,neighborhood,avg_rating,#_of_ratings,avg_cost,cash_cards?,avg_cost_2
O Pontão,Famões,3.1,39,28 € for two people (approx.),Cash only,28
Café D.Carlos,Almada Centro,-,2,12 € for two people (approx.),Cash only,12
Tony's Pizza Burguer,Costa da Caparica,4.0,172,16 € for two people (approx.),Cash and Debit Cards accepted,16
Restaurante Beleza,Venteira,3.0,41,20 € for two people (approx.),Cash and Debit Cards accepted,20
Souldough Pizza,Colares,3.7,24,20 € for two people (approx.),Cash only,20
Vlada Lounge,Arroios,3.9,41,20 € for two people (approx.) with alcohol,Cash only,20
Café Oliveira,Beato,3.0,1,8 € for two people (approx.),Cash only,8
Mercearia do Século,Príncipe Real,3.8,27,15 € for two people (approx.),Cash only,15
Zuari,Lapa-Estrela,4.0,91,30 € for two people (approx.),Cash only,30
A Parreirinha do Paraíso,Santa Apolónia,3.9,30,20 € for two people (approx.),Cash and Debit Cards accepted,20
TIME Tea & Coffee,Parque das Nações,4.2,433,6 € for two people (approx.),Cash and Debit Cards accepted,6
Crispy Mafya,Príncipe Real,4.2,365,40 € for two people (approx.),Cash and Cards accepted,40
Pastelaria Elite,Venda Nova,3.4,6,12 € for two people (approx.),Cash and Cards accepted,12
A Bela Itália Alverca,Alverca do Ribatejo,3.8,74,25 € for two people (approx.),Cash and Debit Cards accepted,25
Granfina,Entrecampos,3.5,41,15 € for two people (approx.),Cash only,15
Tribo da Terra,Beato,4.0,64,15 € for two people (approx.),Cash only,15
Flores do Forte,Sacavém,3.3,6,15 € for two people (approx.),Cash and Cards accepted,15
A Palhota Churrasqueira,Mem Martins,3.8,21,15 € for two people (approx.),Cash and Debit Cards accepted,15
Cafetaria da Esquina ,Arroios,-,1,20 € for two people (approx.),Cash only,20
Snack-Bar Doce do Mastro,Pena,3.5,17,10 € for two people (approx.),Cash and Debit Cards accepted,10
Luis da Beira,Saldanha,3.5,10,20 € for two people (approx.),Cash only,20
Café Joy,Odivelas Centro,3.3,4,6 € for two people (approx.),Cash only,6
O Seu Bitoque,Venteira,2.8,14,20 € for two people (approx.),Cash and Debit Cards accepted,20
Bistrot - Hotel Estoril Eden,Estoril,3.3,1,45 € for two people (approx.),Cash and Cards accepted,45
Ó Silva,São João da Talha,3.4,5,15 € for two people (approx.),Cash and Debit Cards accepted,15
Princesa de Neudel,Damaia,3.2,23,15 € for two people (approx.),Cash and Debit Cards accepted,15
Capricho de Belas,Belas,3.8,45,8 € for two people (approx.),Cash only,8
A Nova Pombalina,Baixa,3.9,48,12 € for two people (approx.),Cash only,12
Amor de Mãe,Arroios,2.9,5,20 € for two people (approx.),Cash only,20
Ginjal Terrasse,Cacilhas,3.6,26,20 € for two people (approx.) with alcohol,Cash only,20
Cantinho da Preta 3,Olivais,-,1,30 € for two people (approx.),Cash and Debit Cards accepted,30
Calavera - Mexican Food & Tequila Bar,Ericeira,4.3,264,30 € for two people (approx.),Cash only,30
Casa do Miguel,Anjos,3.6,18,20 € for two people (approx.),Cash only,20
Alentejo,Benfica,3.5,118,15 € for two people (approx.),Cash and Debit Cards accepted,15
Pastelaria Torp,São João da Talha,3.4,15,8 € for two people (approx.),Cash and Debit Cards accepted,8
Bar Fidélio - Vila Galé Ópera,Alcântara,3.4,6,30 € for two people (approx.) with alcohol,Cash and Cards accepted,30
Ginjinha Sem Rival,Rossio,4.0,59,3 € for two people (approx.) with alcohol,Cash only,3
Império dos Grelhados,Queluz,-,0,11 € for two people (approx.),Cash only,11
Benformoso Restaurante,Mouraria,3.6,14,25 € for two people (approx.),Cash and Cards accepted,25
Mirante da Rocha,Carnaxide,3.4,6,25 € for two people (approx.),Cash only,25
Boi Cavalo,Alfama,4.2,145,80 € for two people (approx.),Cash and Cards accepted,80
Feel Rio,Baixa,4.1,149,10 € for two people (approx.),Cash and Debit Cards accepted,10
Restaurante & Bar - Hotel ibis Lisboa José Malhoa,Campolide,3.4,5,25 € for two people (approx.) with alcohol,Cash and Cards accepted,25
Izzy - Casual Food,Restelo,3.7,28,6 € for two people (approx.),Cash and Cards accepted,6
Zhe Nan,Torres Vedras Centro,3.6,18,30 € for two people (approx.),Cash and Cards accepted,30
Al-Madan - Aldeia dos Capuchos Golf & Spa,Caparica,3.0,12,50 € for two people (approx.),Cash and Cards accepted,50
Alfarroba,Saldanha,4.0,107,20 € for two people (approx.),Cash only,20
O Tal,Almada Centro,4.2,332,12 € for two people (approx.),Cash and Cards accepted,12
Iate Rock,Carcavelos,-,0,15 € for two people (approx.) with alcohol,Cash only,15
Croissanteria,Lapa-Estrela,3.5,7,6 € for two people (approx.),Cash only,6
O Solar de Benfica,Benfica,4.1,194,30 € for two people (approx.),Cash and Cards accepted,30
KFC,Benfica,3.0,58,12 € for two people (approx.),Cash and Cards accepted,12
Estrela do Ocidente,Queluz,3.3,11,22 € for two people (approx.),Cash and Debit Cards accepted,22
Aromas da Beira Baixa,Campo Pequeno,4.3,162,30 € for two people (approx.),Cash and Cards accepted,30
Vermelhosa,São Bento,3.8,22,15 € for two people (approx.),Cash and Debit Cards accepted,15
Verde Amarelo,Costa da Caparica,4.0,502,30 € for two people (approx.),Cash and Cards accepted,30
Nã'Sei Café,Setubal Centro,3.0,5,14 € for two people (approx.),Cash only,14
Belvedere - Grande Real Villa Itália,Cascais Centro,4.4,152,50 € for two people (approx.),Cash and Cards accepted,50
Arkhe,Santos,4.2,63,50 € for two people (approx.),Cash only,50
O Pontão,Linda-a-Velha,3.5,21,45 € for two people (approx.),Cash and Cards accepted,45
Boca Doce,Carcavelos,3.5,14,15 € for two people (approx.),Cash only,15
Cais 56,São Sebastião,4.0,95,25 € for two people (approx.),Cards only,25
Restaurante Figueiredos,Moscavide,2.9,8,20 € for two people (approx.),Cash only,20
O 36,Bairro Alto,3.8,26,14 € for two people (approx.) with alcohol,Cash only,14
Katekero,Campolide,3.8,33,25 € for two people (approx.),Cash and Debit Cards accepted,25
Os Tibetanos,Avenida da Liberdade,4.2,"1,105",40 € for two people (approx.),Cash and Debit Cards accepted,40
Panorâmico by Marlene Vieira,Porto Salvo,3.9,37,50 € for two people (approx.),Cash and Cards accepted,50
Sushi 1 + 1,Barreiro Centro,3.6,21,25 € for two people (approx.),Cash only,25
O Trigueirinho,Mouraria,4.0,76,18 € for two people (approx.),Cash only,18
Arroz Doce,Odivelas Centro,-,0,6 € for two people (approx.),Cash only,6
Escondidinho do Charquinho,Benfica,4.0,95,30 € for two people (approx.),Cards only,30
Winners - Vila Galé Cascais,Cascais Centro,3.1,1,20 € for two people (approx.) with alcohol,Cash and Cards accepted,20
Mina Do Charquinho,Benfica,-,3,8 € for two people (approx.),Cash only,8
O Lourenço,Marvila,3.0,3,25 € for two people (approx.),Cash and Debit Cards accepted,25
Clube de Fado,Sé,4.0,57,80 € for two people (approx.),Cash and Debit Cards accepted,80
Leonardus,Lumiar,3.7,64,20 € for two people (approx.),Cash and Debit Cards accepted,20
O Zé da Mouraria,Mouraria,4.5,437,40 € for two people (approx.),Cash only,40
La Figata,Benfica,4.0,140,20 € for two people (approx.),Cash and Debit Cards accepted,20
Café Pelicano,Damaia,-,1,8 € for two people (approx.),Cash only,8
Tascaqui 52,Corroios,-,1,20 € for two people (approx.),Cash and Debit Cards accepted,20
Beira Minho,Camarate,3.2,0,25 € for two people (approx.),Cash only,25
Antónia Petiscos de Baixa,Baixa,3.5,9,30 € for two people (approx.),Cash and Cards accepted,30
Tasca d'avenida,Amora,-,1,25 € for two people (approx.),Cash only,25
Chile Coffee 1955,Restelo,3.3,18,6 € for two people (approx.),Cash only,6
Churrasqueira Grelha d`Ouro,Barreiro Centro,3.6,11,15 € for two people (approx.),Cash and Debit Cards accepted,15
Aroma do Jardim,Ramada,-,3,6 € for two people (approx.),Cash only,6
O Central,Campolide,3.2,1,8 € for two people (approx.),Cash only,8
Café Cruzeiro,Ajuda,3.2,0,6 € for two people (approx.),Cash only,6
Churrasqueira Bom Pito,Cacém,3.5,10,18 € for two people (approx.),Cash and Debit Cards accepted,18
Restaurante Expressmenu,Oeiras e São Julião da Barra,3.6,14,30 € for two people (approx.),Cash only,30
A Rampa,Famões,-,0,25 € for two people (approx.),Cash only,25
Restaurante Churrasqueira da Beira,Entrecampos,3.7,16,20 € for two people (approx.),Cash and Debit Cards accepted,20
A Meia Gaiola,Carcavelos,3.6,55,20 € for two people (approx.),Cash and Debit Cards accepted,20
Restaurante o Beirão,Sobreda,3.7,26,18 € for two people (approx.),Cash and Cards accepted,18
O Tabuleiro - Pastelaria,Prior Velho,3.3,17,8 € for two people (approx.),Cash only,8
Brasa do Prior,Prior Velho,3.4,6,12 € for two people (approx.),Cash and Debit Cards accepted,12
O Pocinho,São Bento,2.6,18,25 € for two people (approx.),"Cash, Debit Cards and Meal Coupons accepted",25
Café Farturas,Queijas,-,1,8 € for two people (approx.),Cash only,8
A Cidade,Mem Martins,3.1,5,15 € for two people (approx.),Cash and Debit Cards accepted,15
Dona Quitéria,Príncipe Real,4.0,134,40 € for two people (approx.),Cash and Debit Cards accepted,40
Heritage,Arroios,-,2,20 € for two people (approx.),Cash only,20
Tacho Real,Sintra Centro,3.9,37,30 € for two people (approx.),Cash and Cards accepted,30
Bom Dia,Prior Velho,-,2,10 € for two people (approx.),Cash only,10
Tosta Zoo,São Domingos de Benfica,3.3,7,15 € for two people (approx.),Cash only,15
Um Eléctrico Chamado Tágide,Chiado,3.5,10,20 € for two people (approx.),Cash and Debit Cards accepted,20
Saber e Sabor - Mercearia Tradicional e Bistro,Olivais,3.6,18,8 € for two people (approx.),Cash only,8
Aqueduto Bar - Mercure Lisboa Hotel,Campolide,-,0,25 € for two people (approx.) with alcohol,Cash and Cards accepted,25
O Pipo,Costa da Caparica,3.6,19,30 € for two people (approx.),Cash and Cards accepted,30
O Lagar da Beira - Restaurante,Tires,3.1,4,25 € for two people (approx.),Cash only,25
Mal Amada - Doughnuts & Coffee,Brandoa,3.7,26,8 € for two people (approx.),Cash and Cards accepted,8
Café Pastelaria Apolo XI,Santos,3.1,2,16 € for two people (approx.),Cash only,16
Pastelaria Restelo - Careca,Restelo,4.5,"1,837",12 € for two people (approx.),Cash only,12
Churrasqueira da Arroja,Ramada,3.3,4,15 € for two people (approx.),Cash only,15
Molha o Bico,Torres Vedras Centro,-,0,20 € for two people (approx.),Cash and Debit Cards accepted,20
Café da Catarina,Penha de França,3.1,0,12 € for two people (approx.),Cash only,12
Boralá Café,São Domingos de Rana,3.3,6,16 € for two people (approx.),Cash only,16
7 Desejos,Ericeira,3.4,9,20 € for two people (approx.),Cash and Debit Cards accepted,20
Pérola dos EUA,Alvalade,3.4,11,20 € for two people (approx.),Cash and Debit Cards accepted,20
Match Point,Campo Grande,-,2,16 € for two people (approx.),Cash and Debit Cards accepted,16
O Cardoso,Alcochete Centro,3.7,15,35 € for two people (approx.),Cash and Debit Cards accepted,35
Retiro Azul,Palmela Centro,2.9,13,35 € for two people (approx.),Cash only,35
Casa dos Sabores,Almada Centro,3.3,4,15 € for two people (approx.),Cash and Cards accepted,15
Café Caldas,Casal de Cambra,-,1,6 € for two people (approx.),Cash only,6
Sr. Ovo 3,Alvalade,-,0,5 € for two people (approx.),Cash only,5
Cafetaria Mourinha,Mouraria,-,0,8 € for two people (approx.),Cash only,8
Pascoal,Porto Salvo,3.6,12,8 € for two people (approx.),Cash only,8
Pizza Alif Kebab,Rossio,3.0,18,15 € for two people (approx.),Cash and Cards accepted,15
Lisbon Kebab House,Praça de Espanha,-,1,11 € for two people (approx.),Cash and Debit Cards accepted,11
O Chaves,Beato,3.2,0,15 € for two people (approx.),Cash only,15
Il Forno,Alcabideche,3.0,4,25 € for two people (approx.),Cash and Debit Cards accepted,25
Território 21,São Domingos de Rana,-,0,18 € for two people (approx.),Cash only,18
Cervejaria Canecão,Carcavelos,3.9,87,25 € for two people (approx.),Cash and Debit Cards accepted,25
O Miguel,Setubal Centro,4.1,192,45 € for two people (approx.),Cash only,45
O Cantinho dos Amigos,Avenida da Liberdade,3.3,2,12 € for two people (approx.),Cash only,12
Chorincas,Alcântara,-,0,5 € for two people (approx.),Cash only,5
Bar Boss New Generation,Carcavelos,2.7,19,14 € for two people (approx.) with alcohol,Cash and Cards accepted,14
Hamburgueria Fidalguinhos,Barreiro Centro,4.1,290,15 € for two people (approx.),Cash and Cards accepted,15
Ninho da Póvoa,Venda do Pinheiro,-,3,6 € for two people (approx.),Cash only,6
Sabor das Laranjeiras,São Domingos de Benfica,3.2,8,13 € for two people (approx.),Cash and Debit Cards accepted,13
Sr. Fado,Alfama,3.7,17,70 € for two people (approx.),Cash and Cards accepted,70
A Nossa Tasca,Venda Nova,-,0,15 € for two people (approx.),Cash only,15
Bloom Coffee Room,Marquês de Pombal,3.7,13,20 € for two people (approx.),Cash and Debit Cards accepted,20
"Apapol - Aliança Panificadora de Algés, Paço de Arcos e Oeiras",Oeiras e São Julião da Barra,3.2,4,6 € for two people (approx.),Cash only,6
Olavito,Linda-a-Velha,3.3,13,18 € for two people (approx.),Cash and Debit Cards accepted,18
Néné,Baixa,3.4,21,10 € for two people (approx.),Cash and Debit Cards accepted,10
Copélia,Pena,3.7,19,6 € for two people (approx.),Cash and Cards accepted,6
Pingo Doce - Restaurante,Telheiras,3.9,48,15 € for two people (approx.),Cash and Cards accepted,15
O Moleiro de São Marcos,São Marcos,3.4,9,15 € for two people (approx.),Cash and Debit Cards accepted,15
A Floresta de Moscavide,Moscavide,3.8,153,40 € for two people (approx.),Cash and Cards accepted,40
Sandula,Pinhal Novo,-,1,20 € for two people (approx.),Cash only,20
Madrilena,Areeiro,2.9,2,6 € for two people (approx.),Cash only,6
A Moagem,Poceirão,-,1,26 € for two people (approx.),Cash only,26
Red Chilli,Ericeira,3.9,63,25 € for two people (approx.),Cash and Debit Cards accepted,25
Sake Mico Tasting Room,Campo de Ourique,3.6,15,30 € for two people (approx.) with alcohol,Cash and Debit Cards accepted,30
Plátano,Abrunheira,3.4,7,6 € for two people (approx.),Cash only,6
Casa de Tostas Absurdo,São João das Lampas,4.0,91,10 € for two people (approx.),Cash and Debit Cards accepted,10
Restaurante Lusitânia,Avenida da Liberdade,3.8,36,40 € for two people (approx.),Cash and Cards accepted,40
The Pizza Wizard,Anjos,3.6,23,20 € for two people (approx.),Cash and Cards accepted,20
A Camponesa,Entrecampos,3.8,112,20 € for two people (approx.),Cash and Debit Cards accepted,20
Estalagem dos Capotes Brancos,Bairro Alto,3.8,38,30 € for two people (approx.),Cash and Cards accepted,30
Bairro do Avillez,Chiado,4.6,"1,399",50 € for two people (approx.),Cash and Cards accepted,50
A Bolaria,Alcântara,3.1,5,14 € for two people (approx.),Cash and Debit Cards accepted,14
Tasca do Márcio,Aldeia do Meco,3.7,47,20 € for two people (approx.),Cash and Cards accepted,20
O Pote,Areeiro,3.7,69,30 € for two people (approx.),Cash and Cards accepted,30
A Fonte do Cruzeiro,Ajuda,3.1,1,8 € for two people (approx.),Cash only,8
Padaria São Tiago,Telheiras,3.6,7,6 € for two people (approx.),Debit Cards accepted,6
Black Red Pub,Setubal Centro,-,0,14 € for two people (approx.) with alcohol,Cash and Debit Cards accepted,14
Café Aníbal,Linda-a-Velha,3.6,15,8 € for two people (approx.),Cash only,8
Coffee Break,Barreiro Centro,3.6,13,8 € for two people (approx.),Cash and Cards accepted,8
Lutece,Oeiras e São Julião da Barra,3.6,23,6 € for two people (approx.),Cash only,6
O Portas,Baixa,3.6,22,25 € for two people (approx.),Cash and Cards accepted,25
Maria Pastel,Alfornelos,-,1,15 € for two people (approx.),Cash only,15
Barca Velha,Massamá,3.1,9,20 € for two people (approx.),Cash and Cards accepted,20
O Poeta,Cascais Centro,2.6,40,40 € for two people (approx.),Cash and Cards accepted,40
O Calhambeque,Sesimbra Centro,-,1,20 € for two people (approx.),Cash and Cards accepted,20
Ferro de Engomar,São Domingos de Benfica,3.6,9,20 € for two people (approx.),Cash and Debit Cards accepted,20
Restaurante Ponto de Encontro,Torres Vedras Centro,3.6,14,30 € for two people (approx.),Cash and Cards accepted,30
Açucena Pastelaria,Seixal Centro,3.5,11,6 € for two people (approx.),Cash and Cards accepted,6
Café Império,Mem Martins,-,0,8 € for two people (approx.),Cash only,8
Vitoriana's Spot,Barreiro Centro,3.4,5,20 € for two people (approx.),Cash and Debit Cards accepted,20
Sushi-Away,Campo de Ourique,3.5,11,17 € for two people (approx.),Cash and Cards accepted,17
The B Temple,Chiado,4.5,"2,446",30 € for two people (approx.),Cash and Debit Cards accepted,30
Roda de Leme,Parque das Nações,3.6,27,40 € for two people (approx.),Cash and Cards accepted,40
A Forja,Quinta do Conde,-,0,8 € for two people (approx.),Cash only,8
Bar São Jorge - Altis Grand Hotel,Avenida da Liberdade,3.4,7,25 € for two people (approx.) with alcohol,Cash and Cards accepted,25
Café Astória,Parede,3.5,12,10 € for two people (approx.),Cash only,10
Tapas e Bolos,Venteira,-,1,10 € for two people (approx.),Cash and Debit Cards accepted,10
Retiro da Mina,Queluz,3.9,128,30 € for two people (approx.),Cash and Cards accepted,30
Mesh,Almada Centro,-,3,12 € for two people (approx.),Cash and Debit Cards accepted,12
Mythos,Linda-a-Velha,-,1,15 € for two people (approx.),Cash only,15
Lucindas,Alfama,3.3,10,20 € for two people (approx.),Cash only,20
La Barra,Carnaxide,3.5,13,15 € for two people (approx.),Cash and Cards accepted,15
O Telheirinho,Mina,-,0,12 € for two people (approx.),Cash only,12
INOX,Santa Iria da Azóia,3.8,23,25 € for two people (approx.),Cash and Debit Cards accepted,25
Kumar Kebab House,Santa Apolónia,2.9,6,10 € for two people (approx.),Cash and Debit Cards accepted,10
U Chá,Amoreiras,3.6,10,10 € for two people (approx.),Cash only,10
Café Primavera,Ramada,-,0,6 € for two people (approx.),Cash only,6
Águas Quentes,Loures Centro,3.0,13,20 € for two people (approx.),Cash and Debit Cards accepted,20
"Bento, Gaspar & Santos",Ajuda,3.1,3,13 € for two people (approx.),Cash only,13
O Cristino,Amora,3.8,50,25 € for two people (approx.),Cash only,25
Via 14 - Comeres e Vinhos,Parque das Nações,4.1,114,30 € for two people (approx.),Cash and Debit Cards accepted,30
Põe-te na Bicha,Bairro Alto,4.0,219,25 € for two people (approx.),Cash and Cards accepted,25
The Beer Hunter,Oeiras e São Julião da Barra,4.0,250,25 € for two people (approx.) with alcohol,Cash and Debit Cards accepted,25
Via Gusto,Campo Pequeno,3.7,20,20 € for two people (approx.),Cash only,20
Rota do Sul - Sabores Mediterrânicos,Lapa-Estrela,3.9,28,15 € for two people (approx.),Cards only,15
Cooleys Irish Bar,Cascais Centro,-,2,20 € for two people (approx.) with alcohol,Cash and Debit Cards accepted,20
Água Benta,São Bento,3.7,26,30 € for two people (approx.),Debit Cards accepted,30
Italian Republic,Alvalade,4.3,552,30 € for two people (approx.),Cash and Debit Cards accepted,30
Wine Not?,Chiado,4.2,287,25 € for two people (approx.) with alcohol,Cash and Cards accepted,25
7a Arte Setúbal,Setubal Centro,3.3,26,30 € for two people (approx.),Cash and Debit Cards accepted,30
A Galeria,Torre da Marinha,3.6,11,25 € for two people (approx.),Cash only,25
Idálio,São Brás,-,0,6 € for two people (approx.),Cash only,6
Restaurante Balão,Moscavide,3.2,3,20 € for two people (approx.),Cash and Cards accepted,20
Vinhos & Petiscos,Costa da Caparica,3.9,32,25 € for two people (approx.) with alcohol,Cash and Cards accepted,25
Trigo Limpo,Alverca do Ribatejo,-,0,16 € for two people (approx.),Cash only,16
Bel'Empada,Areeiro,4.0,91,20 € for two people (approx.),Cash and Cards accepted,20
Baía Tejo,Rosário,4.0,99,40 € for two people (approx.),Cash and Cards accepted,40
Tayybeh,Moscavide,4.6,233,25 € for two people (approx.),Cash and Cards accepted,25
Frangos e Companhia Churrasqueira,Corroios,-,0,16 € for two people (approx.),Cash only,16
Taberna do Relojoeiro,Almada Centro,4.1,90,20 € for two people (approx.),Cash and Debit Cards accepted,20
Aroma Café,Corroios,-,2,12 € for two people (approx.),Cash only,12
Ginginha do Carmo,Rossio,3.9,33,5 € for two people (approx.) with alcohol,Cash and Debit Cards accepted,5
Sical Café,Amoreiras,2.9,9,5 € for two people (approx.),Cash and Debit Cards accepted,5
Patyanne,Castanheira do Ribatejo,-,2,6 € for two people (approx.),Cash only,6
El Chanta,Alcântara,4.0,86,25 € for two people (approx.),Cash and Debit Cards accepted,25
M'Arrecreo,Bairro Alto,4.2,139,30 € for two people (approx.),Cash only,30
Luso Americana,Arroios,2.7,18,12 € for two people (approx.),Debit Cards accepted,12
Rota dos Petiscos,Amora,3.6,20,24 € for two people (approx.),Cash only,24
Grelhados do Tio,Carcavelos,3.8,23,20 € for two people (approx.),Cash only,20
Tropical da Graça,Graça,3.8,37,14 € for two people (approx.),Cash only,14
Ponto de Encontro,Telheiras,3.1,0,5 € for two people (approx.),Cash and Debit Cards accepted,5
Gula's - For Kitchen Lovers,Saldanha,4.3,289,25 € for two people (approx.),Cash and Cards accepted,25
Labrazza Steakhouse,Parque das Nações,3.9,62,35 € for two people (approx.),Cash and Cards accepted,35
Spot24h,Lumiar,-,0,6 € for two people (approx.),Cash and Cards accepted,6
Kitsch'n Live,Bairro Alto,3.7,14,15 € for two people (approx.) with alcohol,Cash and Cards accepted,15
Bom Bom,Torres Vedras Centro,-,0,8 € for two people (approx.),Cash only,8
Tinoni,Carcavelos,3.5,13,25 € for two people (approx.),Cash only,25
Srikaya,Setubal Centro,-,0,17 € for two people (approx.),Cash only,17
Pastelaria Henrique Teles,Setubal Centro,-,0,8 € for two people (approx.),Cash only,8
Elegance Cafetaria Bar,Torres Vedras Centro,3.5,14,15 € for two people (approx.) with alcohol,Cash and Debit Cards accepted,15
Pasión Mexicana,Parede,4.3,317,30 € for two people (approx.),Cash and Cards accepted,30
Vitó,Linda-a-Velha,3.9,107,20 € for two people (approx.),Debit Cards accepted,20
Retiro do Capitanga,São João das Lampas,4.0,191,15 € for two people (approx.),Cash only,15
Adega Mocho,Atalaia,3.8,31,10 € for two people (approx.),Cash only,10
Café Crioula,Damaia,-,2,10 € for two people (approx.),Cash only,10
Moscatel Setubal,Setubal Centro,3.7,14,20 € for two people (approx.),Cash only,20
A Nortenha,Pinhal Novo,-,2,15 € for two people (approx.),Cash only,15
Cantinho da São,Bobadela,3.3,6,30 € for two people (approx.),Cash and Credit Cards accepted,30
Bristol,Sintra Centro,3.1,19,40 € for two people (approx.),Cash and Debit Cards accepted,40
British Bar,Cais do Sodré,3.7,49,20 € for two people (approx.) with alcohol,Cash and Cards accepted,20
O Moinho,Queijas,3.3,6,6 € for two people (approx.),Cash and Debit Cards accepted,6
Garden,Campo de Ourique,3.3,5,12 € for two people (approx.),Cash only,12
Madre Pérola,Lumiar,3.0,6,17 € for two people (approx.),Cash and Debit Cards accepted,17
Marrakesh,Praça de Espanha,4.0,236,25 € for two people (approx.),Cash and Cards accepted,25
Kyoto,Brandoa,2.9,22,25 € for two people (approx.),Cash and Debit Cards accepted,25
O Ninho do Cacém,Cacém,3.2,5,6 € for two people (approx.),Cash only,6
Pão de Lis,Cascais Centro,3.0,1,10 € for two people (approx.),Cash only,10
Marretas Bar,Santos,2.5,68,13 € for two people (approx.) with alcohol,Cash and Cards accepted,13
Gula Pronto Comer,Marquês de Pombal,3.3,4,14 € for two people (approx.),Cash only,14
Mar d'Areia,Ericeira,4.2,122,40 € for two people (approx.),Cash only,40
PizzaMóvel by Davito,Arroios,3.2,11,25 € for two people (approx.),Cash and Debit Cards accepted,25
Taberna Zé da Lídia,Caparica,4.0,52,25 € for two people (approx.),Cash and Cards accepted,25
Cantinha D'Paula,Corroios,3.6,16,12 € for two people (approx.),Cash only,12
Pastelaria Mimosa,Póvoa de Santo Adrião,-,3,12 € for two people (approx.),Cash and Debit Cards accepted,12
Atira-te ao Rio,Almada Centro,4.3,394,45 € for two people (approx.),Cash and Cards accepted,45
Às Tantas,Belas,-,0,15 € for two people (approx.),Cash only,15
Ti Lurdes,Campo Pequeno,3.9,154,35 € for two people (approx.),Cash and Cards accepted,35
New Saga Lisboa,Mina,-,1,25 € for two people (approx.),Cash only,25
Taberna de Santa Engrácia,Santa Apolónia,-,2,6 € for two people (approx.),Cash only,6
Laço de Mel,Mem Martins,3.3,6,8 € for two people (approx.),Cash only,8
Restaurante Jardim da Graça,Graça,3.4,8,20 € for two people (approx.),Cash and Cards accepted,20
Pérola Bar,Santos,3.1,16,10 € for two people (approx.) with alcohol,Cash only,10
Casinha dos Sabores,Pena,-,1,20 € for two people (approx.),Cash and Cards accepted,20
O Novo Pátio,Almada Centro,-,0,10 € for two people (approx.),Cash and Debit Cards accepted,10
Azimut,Cascais Centro,3.5,34,20 € for two people (approx.),Cash and Cards accepted,20
Bugatti,Rio de Mouro,3.0,44,20 € for two people (approx.),Cash and Cards accepted,20
Dez Prá Uma,Alvalade,-,0,20 € for two people (approx.),Cash and Debit Cards accepted,20
Monte Branco,Queluz,3.0,0,15 € for two people (approx.),Cash only,15
Floresta do Alcaíde,Bica,3.5,9,15 € for two people (approx.),Cash only,15
Restaurante Russu's,Odivelas Centro,3.5,7,20 € for two people (approx.),Cash only,20
Lobby Bar - Turim Saldanha Hotel,Saldanha,-,0,25 € for two people (approx.) with alcohol,Cash and Cards accepted,25
Bar 87-A Caffé,Rio de Mouro,3.3,4,12 € for two people (approx.) with alcohol,Cash only,12
Oliva Tapas Bar,Vila Franca de Xira Centro,3.8,18,25 € for two people (approx.) with alcohol,Cash and Debit Cards accepted,25
Tropical,Odivelas Centro,-,0,8 € for two people (approx.),Cash only,8
The Corkman Irish Pub,Cacilhas,3.4,6,12 € for two people (approx.) with alcohol,Cash only,12
Taquería Patron,Bairro Alto,3.6,35,30 € for two people (approx.) with alcohol,Cash and Cards accepted,30
O Bitasco,Mem Martins,2.8,23,18 € for two people (approx.),Cash and Cards accepted,18
Quente e Bom,Algés,2.8,25,8 € for two people (approx.),Cash and Cards accepted,8
Altas Horas,Alcântara,3.3,4,10 € for two people (approx.),Cash and Debit Cards accepted,10
Snack Bar Palmeira,Sesimbra Centro,3.3,5,10 € for two people (approx.),Cash and Debit Cards accepted,10
O Pavão,Saldanha,3.7,25,30 € for two people (approx.),Cash and Cards accepted,30
Taberna dos Sabores,Marquês de Pombal,3.5,10,18 € for two people (approx.),Cash and Debit Cards accepted,18
Miguel Laffan at Atlântico Bar & Restaurant,Estoril,4.4,219,70 € for two people (approx.),Cash and Cards accepted,70
Casa das Lamejinhas,Sarilhos Grandes,3.0,30,40 € for two people (approx.),Cash and Cards accepted,40
Bonsai,Príncipe Real,4.6,620,50 € for two people (approx.),Cash and Cards accepted,50
Yamba,Costa da Caparica,2.9,37,30 € for two people (approx.) with alcohol,Cash and Cards accepted,30
Gelato Therapy,Baixa,4.1,80,10 € for two people (approx.),Cash only,10
Churrasqueira do Jamor,Queluz,3.8,39,15 € for two people (approx.),Cash and Debit Cards accepted,15
Antigo Restaurante 1º de Maio,Bairro Alto,3.8,55,40 € for two people (approx.),Cash and Cards accepted,40
Cacaoati,Ramada,-,2,8 € for two people (approx.),Cash only,8
Odisseia,Beato,-,0,6 € for two people (approx.),Cash only,6
Piparote Conspiração,Príncipe Real,3.0,3,10 € for two people (approx.),Cash only,10
Casa do Castelo,Palmela Centro,4.1,123,35 € for two people (approx.),Cash and Cards accepted,35
Churrasqueira Rocha,Tires,3.5,10,20 € for two people (approx.),Cash and Debit Cards accepted,20
"Fontana Bar & Lounge, DoubleTree by Hilton Lisbon - Fontana Park",Saldanha,3.9,29,65 € for two people (approx.) with alcohol,Cash and Cards accepted,65
Golfinho Azul,Ericeira,4.3,252,45 € for two people (approx.),Cash and Debit Cards accepted,45
Evian,Benfica,3.9,126,8 € for two people (approx.),Cash and Debit Cards accepted,8
