name,neighborhood,avg_rating,#_of_ratings,avg_cost,avg_cost_2,cash_cards?,variable,value
Tertúlia Café,São Marcos,-,2,7 € for two people (approx.),7,Cash only,type1,Snack Bar
+ K' Caffe,Paço de Arcos,-,1,12 € for two people (approx.),12,Cash and Debit Cards accepted,type1,Pastry Shop
Taberna Ímpar,Loures Centro,3.9,45,16 € for two people (approx.),16,Cash and Cards accepted,type1,Casual Dining
Soft Velvet,Parque das Nações,3.7,41,25 € for two people (approx.) with alcohol,25,Cash only,type1,Bar
Pratu's - Solplay Hotel,Algés,3.7,16,60 € for two people (approx.),60,Cash and Cards accepted,type1,Fine Dining
Cantinho Transmontano,Costa da Caparica,3.4,13,20 € for two people (approx.),20,Cash only,type1,Casual Dining
HotShot Pool Club,Odivelas Centro,3.7,55,12 € for two people (approx.) with alcohol,12,Cash and Debit Cards accepted,type1,Bar
Mezza Restaurante & Bar,Torres Vedras Centro,3.6,56,25 € for two people (approx.),25,Cards only,type1,Casual Dining
M Bar - Martinhal Cascais,Guincho,3.4,7,40 € for two people (approx.),40,Cash and Debit Cards accepted,type1,Casual Dining
Cantinho Telheiras - Restaurante Marisqueira,Telheiras,-,2,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
O Grilas,Cais do Sodré,-,0,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Café Alice,São João do Estoril,3.3,3,10 € for two people (approx.),10,Cash only,type1,Snack Bar
Lila,Alcântara,3.0,4,10 € for two people (approx.),10,Cash only,type1,Pastry Shop
Churrasqueira Rio de Mouro,Rio de Mouro,3.1,1,15 € for two people (approx.),15,Cash and Cards accepted,type1,Casual Dining
Jobim,Príncipe Real,3.8,20,20 € for two people (approx.) with alcohol,20,Cash and Debit Cards accepted,type1,Wine Bar
Bar 3K Europa - Hotel 3K Europa,Entrecampos,3.3,2,20 € for two people (approx.) with alcohol,20,Cash and Cards accepted,type1,Bar
Bifanas de Vendas Novas,Brandoa,3.3,58,10 € for two people (approx.),10,Cash and Debit Cards accepted,type1,Food Court
Cheira Bem,São Domingos de Rana,3.2,3,15 € for two people (approx.),15,Cash only,type1,Casual Dining
Asia Taste,Paço de Arcos,3.6,26,30 € for two people (approx.),30,Cash and Debit Cards accepted,type1,Casual Dining
Café Café,Torres Vedras Centro,-,0,15 € for two people (approx.),15,Cash and Cards accepted,type1,Casual Dining
Café Triunfal,São Brás,-,1,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Kebab Agualva,Mem Martins,-,2,12 € for two people (approx.),12,Cash only,type1,Quick Bites
Lyan's,Barcarena,3.7,19,10 € for two people (approx.) with alcohol,10,Cash only,type1,Bar
Tendinha,Massamá,-,2,25 € for two people (approx.),25,Cash only,type1,Food Court
O Queque de Campo de Ourique,Campo de Ourique,3.1,7,8 € for two people (approx.),8,Cash only,type1,Pastry Shop
Mil e Tal Corroios,Corroios,3.9,99,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Pérola do Prior Velho,Prior Velho,-,0,20 € for two people (approx.),20,Cash only,type1,Quick Bites
Jamba +,Prior Velho,3.5,7,6 € for two people (approx.),6,Cash only,type1,
Café Fontinha,Massamá,3.0,0,12 € for two people (approx.),12,Cash only,type1,Snack Bar
Gare Sete,Campolide,3.3,13,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
Santos-O-Vinho,Madragoa,3.4,7,14 € for two people (approx.) with alcohol,14,Cash and Debit Cards accepted,type1,Wine Bar
Flor de Alecrim,Loures Centro,-,3,8 € for two people (approx.),8,Cash only,type1,Pastry Shop
Pastelaria Sorriola e Casa Kebab,Cascais Centro,3.1,6,13 € for two people (approx.),13,Cash only,type1,Quick Bites
Farol,Arrábida,3.7,24,50 € for two people (approx.),50,Cash and Cards accepted,type1,Casual Dining
Dell's Lisboa,Praça de Espanha,3.7,14,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
Os Duques do Cais,Cais do Sodré,3.7,13,15 € for two people (approx.),15,Cash only,type1,Casual Dining
Atlântico à Vista,Ericeira,-,0,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Pão Doce,Setubal Centro,3.3,4,10 € for two people (approx.),10,Cash only,type1,Pastry Shop
Zé do Nabo,Arrábida,3.6,12,25 € for two people (approx.),25,Cash and Credit Cards accepted,type1,Casual Dining
Rubisa,Sintra Centro,-,3,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Mordiscaria,Ericeira,3.4,9,12 € for two people (approx.),12,Cash and Debit Cards accepted,type1,Pastry Shop
Restaurante Várzea,Torres Vedras Centro,3.3,4,35 € for two people (approx.),35,Cash and Debit Cards accepted,type1,Casual Dining
Sushi dos Sá Morais,Marquês de Pombal,4.3,971,40 € for two people (approx.),40,Debit Cards accepted,type1,Casual Dining
New Varinos Lounge,Negrais,-,2,12 € for two people (approx.) with alcohol,12,Cash only,type1,Bar
Floresta de Madrid,Areeiro,3.2,4,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Spiga Café,São Domingos de Benfica,-,1,6 € for two people (approx.),6,Cash only,type1,Pastry Shop
Club i 2,Castanheira do Ribatejo,-,2,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
Casa Indiana - Alcântara,Alcântara,3.8,12,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
Ponto de Encontro,Rossio,3.1,4,10 € for two people (approx.),10,Cash only,type1,Snack Bar
Belcanto,Loures Centro,3.3,4,5 € for two people (approx.),5,Cash only,type1,Snack Bar
Mel e Canela,São Domingos de Benfica,3.6,11,20 € for two people (approx.),20,Cash and Cards accepted,type1,Casual Dining
Hamburgueria Lusíadas Gourmet,São Domingos de Benfica,3.9,146,15 € for two people (approx.),15,Cash and Cards accepted,type1,Casual Dining
City Bar - Cinema City,Campo Pequeno,3.7,135,18 € for two people (approx.),18,Cash and Cards accepted,type1,Snack Bar
A Bela Cafetaria,Carcavelos,3.1,7,6 € for two people (approx.),6,Cash only,type1,Pastry Shop
Ito,Queluz,2.8,27,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
Cafetaria da Casa dos Lagos de Pena,Sintra Centro,3.2,0,12 € for two people (approx.),12,Cash only,type1,Snack Bar
O Carlito's,Benfica,-,1,6 € for two people (approx.),6,Cash and Debit Cards accepted,type1,Pastry Shop
Furnas do Guincho,Guincho,4.6,860,80 € for two people (approx.),80,Cash and Cards accepted,type1,Fine Dining
Sabores com Alma,Telheiras,3.7,36,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Casual Dining
Tapas & Companhia,Rio de Mouro,3.6,11,20 € for two people (approx.),20,Cash and Cards accepted,type1,Casual Dining
Churransil,Massamá,3.6,22,18 € for two people (approx.),18,Cash only,type1,Casual Dining
Guida's,São Domingos de Rana,3.5,16,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Quick Bites
Rekantos II,Aldeia do Meco,-,2,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Cozinha da Quinta,Abrunheira,3.5,13,17 € for two people (approx.),17,Cash and Debit Cards accepted,type1,Casual Dining
Maruma,Marvila,3.2,0,12 € for two people (approx.),12,Cash and Debit Cards accepted,type1,Casual Dining
Duna Mar Restaurante,São João das Lampas,3.8,19,55 € for two people (approx.),55,Cash and Cards accepted,type1,Casual Dining
Terraço Bougainvillea - Hotel Estoril Palácio,Estoril,3.6,12,70 € for two people (approx.),70,Cash and Cards accepted,type1,Fine Dining
Pastelaria Moderna,Barreiro Centro,3.9,46,8 € for two people (approx.),8,Cash only,type1,Pastry Shop
Sericá,São Domingos de Rana,-,3,10 € for two people (approx.),10,Cash only,type1,Snack Bar
