name,neighborhood,avg_rating,#_of_ratings,avg_cost,avg_cost_2,cash_cards?,variable,value
Cupido,Benfica,2.9,5,6 € for two people (approx.),6,Cash and Cards accepted,type1,Kiosk
A Mina da Viana,Brandoa,-,1,6 € for two people (approx.),6,Cash only,type1,Bakery
Arribas Caffé - Hotel Arribas,Colares,3.7,18,30 € for two people (approx.) with alcohol,30,Cash and Cards accepted,type1,Wine Bar
Loucos de Lisboa,Alfama,3.6,7,30 € for two people (approx.),30,Cash only,type1,Casual Dining
Chapéu Preto,Ericeira,3.4,8,25 € for two people (approx.),25,Cash and Cards accepted,type1,Snack Bar
Casa Gama,Ericeira,4.2,65,4 € for two people (approx.),4,Cash only,type1,Dessert Parlor
O Cantinho da Sónia,Arroios,3.9,78,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Casual Dining
O Cortiço,Moita Centro,-,0,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Império de Sacavém,Sacavém,3.0,2,20 € for two people (approx.),20,Cash only,type1,Casual Dining
A Parreirinha de São Vicente,Alfama,3.4,8,22 € for two people (approx.),22,Cash and Debit Cards accepted,type1,Casual Dining
Cafeteria Italiana,Campo Pequeno,3.5,4,8 € for two people (approx.),8,Cash and Debit Cards accepted,type1,Snack Bar
Casa da Amendoeira,Restelo,3.9,67,35 € for two people (approx.),35,Cash and Cards accepted,type1,Casual Dining
Quero-te no Cais,Cais do Sodré,3.7,64,14 € for two people (approx.) with alcohol,14,Cash only,type1,Bar
Cantinho do Caracol,Póvoa de Santa Iria,3.6,13,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Tágide do Oceano,Buraca,3.4,5,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Snack Bar
O Cofre Verde,Baixa,3.6,22,30 € for two people (approx.),30,Cash and Cards accepted,type1,Casual Dining
Sky Bar by Seen,Avenida da Liberdade,4.5,800,40 € for two people (approx.) with alcohol,40,Cash and Cards accepted,type1,Lounge
Alentejanices,Amora,3.7,42,18 € for two people (approx.),18,Cash and Debit Cards accepted,type1,Casual Dining
Petiscaria Casa,Sintra Centro,4.3,122,35 € for two people (approx.),35,Cash and Cards accepted,type1,Casual Dining
Basílio Lisboa,Sé,4.5,449,20 € for two people (approx.),20,Cash and Cards accepted,type1,Café
Café A Bica,Santa Iria da Azóia,-,1,14 € for two people (approx.),14,Cash only,type1,Snack Bar
Céu Estrelado,Penha de França,3.3,3,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Belmar,São Domingos de Benfica,3.5,23,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
Vista Azul,Ericeira,-,2,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Bolinata Kaffe,Almada Centro,3.3,7,12 € for two people (approx.),12,Cash only,type1,Quick Bites
Pastelaria São Marcos,Entrecampos,3.0,7,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
A Tendinha,Oeiras e São Julião da Barra,3.8,93,30 € for two people (approx.),30,Cash only,type1,Casual Dining
Defacto Cake,Benfica,3.5,7,6 € for two people (approx.),6,Cash and Cards accepted,type1,Pastry Shop
All-Barquel,Arrábida,3.0,7,40 € for two people (approx.),40,Cash and Cards accepted,type1,Casual Dining
Nova Europa,Almada Centro,3.5,6,30 € for two people (approx.),30,Cash and Debit Cards accepted,type1,Casual Dining
A Caseirinha,Odivelas Centro,3.3,4,8 € for two people (approx.),8,Cash only,type1,Pastry Shop
Kaletas,Queluz,3.1,0,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Lopes,Fernão Ferro,-,0,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Mint House - Pho-Bo,Mouraria,4.0,56,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Casual Dining
Baga Baga,Graça,3.0,14,10 € for two people (approx.),10,Cash only,type1,Pastry Shop
Confeitaria Valbom,Praça de Espanha,3.4,11,20 € for two people (approx.),20,Cash and Cards accepted,type1,Casual Dining
Adega do Tagarro,Bairro Alto,3.8,231,30 € for two people (approx.),30,Cash and Cards accepted,type1,Casual Dining
Galifrango,Parede,3.7,23,15 € for two people (approx.),15,Cash only,type1,
Beleza Park,Entrecampos,-,0,12 € for two people (approx.),12,Cash only,type1,Snack Bar
Jacó,Linda-a-Velha,4.0,89,30 € for two people (approx.),30,Cash and Debit Cards accepted,type1,Casual Dining
Oyashima,Amora,3.8,46,30 € for two people (approx.),30,Cash and Debit Cards accepted,type1,Casual Dining
Kumar,Anjos,3.5,10,12 € for two people (approx.),12,Cash and Debit Cards accepted,type1,Quick Bites
O Batoque,Seixal Centro,3.4,10,20 € for two people (approx.),20,Cash and Cards accepted,type1,Casual Dining
Café Gelataria,Penha de França,3.1,0,10 € for two people (approx.),10,Cash only,type1,Snack Bar
Solar da Ribeira,Cais do Sodré,2.6,81,20 € for two people (approx.) with alcohol,20,Cash and Cards accepted,type1,Bar
A Cozinha do Miguel,Campo Grande,3.4,6,25 € for two people (approx.),25,Cash only,type1,Casual Dining
Fiesta Café- Hotel Roma,Alvalade,3.3,10,45 € for two people (approx.),45,Cash and Cards accepted,type1,Casual Dining
O Palheiro,Brandoa,-,1,13 € for two people (approx.),13,Cash only,type1,Quick Bites
Fire Kebab e Pizza,Damaia,-,2,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Casual Dining
El Taco Chingón,Arroios,4.0,165,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
Leitaria Ideal Lafonense,Mina,-,0,8 € for two people (approx.),8,Cash only,type1,Snack Bar
A Chaminé de Laveiras,Caxias,3.6,23,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Casual Dining
Rota do Oriente,Alvalade,3.7,23,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
Kitsch,Montijo Centro,4.3,235,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Café Moderno,Seixal Centro,-,2,6 € for two people (approx.),6,Cash only,type1,Café
Cantinho do Alfredo,Campolide,4.0,194,15 € for two people (approx.),15,Cash only,type1,Casual Dining
Toscano,Parede,4.3,192,60 € for two people (approx.),60,Cash and Cards accepted,type1,Fine Dining
Mr. Pizza,Torres Vedras Centro,-,3,18 € for two people (approx.),18,Cash and Cards accepted,type1,Quick Bites
Requito,Belas,3.1,1,6 € for two people (approx.),6,Cash and Debit Cards accepted,type1,Snack Bar
Zineira,São João do Estoril,3.5,9,6 € for two people (approx.),6,Cash and Debit Cards accepted,type1,Snack Bar
Chez Ma Pomme,Cascais Centro,-,2,19 € for two people (approx.),19,Cash and Cards accepted,type1,Casual Dining
Decor e Salteado,São Sebastião,3.9,72,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
Café Esplanada,Torres Vedras Centro,-,0,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Restaurante O Lanche,Barreiro Centro,3.6,11,25 € for two people (approx.),25,Cash only,type1,Casual Dining
Mestrias Nova Tasca,Ajuda,4.0,112,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
Lenita,Anjos,3.5,12,12 € for two people (approx.),12,Cash and Debit Cards accepted,type1,Pastry Shop
DejaVu Bar Lounge,Arroios,3.7,178,15 € for two people (approx.) with alcohol,15,Cash and Debit Cards accepted,type1,Lounge
Única da Torre,Lumiar,3.1,3,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Vintage Lounge Bar,Torres Vedras Centro,-,0,10 € for two people (approx.) with alcohol,10,Cash and Debit Cards accepted,type1,Bar
A Miragem,São Pedro da Cadeira,-,1,15 € for two people (approx.),15,Cash only,type1,Casual Dining
Restaurante Clube de Canoagem,Algés,-,3,30 € for two people (approx.),30,Cash and Debit Cards accepted,type1,Casual Dining
Tasco do Kaneco,Setubal Centro,3.7,28,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Neves,Areeiro,3.0,3,10 € for two people (approx.),10,Cash only,type1,Snack Bar
La Piazza,Montijo Centro,3.8,94,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Food Court
A Ratoeira Minhota,Rato,3.3,7,16 € for two people (approx.),16,Cash and Cards accepted,type1,Quick Bites
Paraíso de Linda-a-Velha,Linda-a-Velha,-,0,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Banca de Pau,Rato,3.9,52,25 € for two people (approx.) with alcohol,25,Cash and Debit Cards accepted,type1,Wine Bar
Beija-me,Mafra Centro,-,1,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
Andorinhas,Ajuda,4.0,91,30 € for two people (approx.),30,Cash and Cards accepted,type1,Casual Dining
Sonho Doce,Quinta do Conde,-,0,8 € for two people (approx.),8,Cash only,type1,Pastry Shop
Marisqueira Mar Salgado,São Sebastião,-,2,35 € for two people (approx.),35,Cash and Cards accepted,type1,Casual Dining
Apetitisses,Reboleira,-,0,10 € for two people (approx.),10,Cash only,type1,Quick Bites
Casa da Praia,Príncipe Real,3.5,18,20 € for two people (approx.) with alcohol,20,Cards only,type1,Wine Bar
Alhisalsa,Parque das Nações,-,0,14 € for two people (approx.),14,Cash only,type1,Casual Dining
Malta 20,Campolide,3.6,11,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
Square Café,Amoreiras,2.9,8,6 € for two people (approx.),6,Cash and Cards accepted,type1,Quick Bites
Coutada,Pena,3.6,26,30 € for two people (approx.),30,Cash and Cards accepted,type1,Casual Dining
Manduka,Vale da Amoreira,-,2,25 € for two people (approx.),25,Cash only,type1,Casual Dining
O Sonho,Camarate,3.4,4,13 € for two people (approx.),13,Cash and Debit Cards accepted,type1,Snack Bar
O Beirão,Famões,-,0,25 € for two people (approx.),25,Cash only,type1,Casual Dining
Sabores da Ribeira,Cais do Sodré,3.3,15,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
The Food for Real Entrecampos,Entrecampos,3.4,6,14 € for two people (approx.),14,Cash and Debit Cards accepted,type1,Café
Rendezvous - More Than Wine,Graça,3.7,12,15 € for two people (approx.) with alcohol,15,Cash and Cards accepted,type1,Wine Bar
Joana Come a Tapa,Alcochete Centro,3.9,35,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
Dom Tacho Bar,Campo Pequeno,3.6,15,25 € for two people (approx.),25,Cash only,type1,Casual Dining
Level Eight,Avenida da Liberdade,4.1,165,25 € for two people (approx.) with alcohol,25,Cash and Cards accepted,type1,Lounge
Brá,Cais do Sodré,3.3,5,30 € for two people (approx.),30,Cash and Debit Cards accepted,type1,Casual Dining
Adega de Belém,Belém,3.8,18,35 € for two people (approx.),35,Cash and Cards accepted,type1,Casual Dining
Cafetaria Estado D'Alma,Belém,3.3,9,12 € for two people (approx.),12,Cash and Cards accepted,type1,Quick Bites
Café Sandokan,São Domingos de Rana,3.2,0,6 € for two people (approx.),6,Cash only,type1,Snack Bar
O Flamenguito,Santo António dos Cavaleiros,3.2,2,18 € for two people (approx.),18,Cash and Debit Cards accepted,type1,Casual Dining
Bem Estar,Parede,-,3,10 € for two people (approx.),10,Cash only,type1,Snack Bar
Vila's,Alfornelos,-,2,25 € for two people (approx.),25,Cash only,type1,Casual Dining
Go Natural,Saldanha,-,0,15 € for two people (approx.),15,Cash and Cards accepted,type1,Quick Bites
Indian Dreams,Benfica,3.6,60,20 € for two people (approx.),20,Cash and Cards accepted,type1,Casual Dining
Doce Vício,Benfica,-,1,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Churrasqueira S R,Loures Centro,3.8,33,25 € for two people (approx.),25,Cash and Cards accepted,type1,
Intensamente,Cais do Sodré,-,0,6 € for two people (approx.),6,Cash only,type1,Kiosk
Sabores na Travessa,Bairro Alto,4.0,45,25 € for two people (approx.),25,Cash only,type1,Casual Dining
Rubisa,Sintra Centro,-,2,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Paulinha em Cascais,Cascais Centro,3.5,10,6 € for two people (approx.),6,Cash only,type1,Pastry Shop
O Cartacheiro,Alfama,3.6,9,25 € for two people (approx.),25,Cash only,type1,Casual Dining
Cafetaria da Biblioteca Municipal,São Domingos de Rana,3.4,9,12 € for two people (approx.),12,Cash only,type1,Quick Bites
O Sonho,São Marcos,-,1,15 € for two people (approx.),15,Cash only,type1,Pastry Shop
Boutik,São Bento,4.5,171,18 € for two people (approx.),18,Cash only,type1,Café
Fama Volat Kaffé,Quinta do Conde,-,1,12 € for two people (approx.) with alcohol,12,Cash only,type1,Bar
Casa Chinesa,Baixa,3.7,33,30 € for two people (approx.),30,Cash and Cards accepted,type1,Pastry Shop
Pausa Poética,Campo Grande,3.7,17,8 € for two people (approx.),8,Cash only,type1,Pastry Shop
Anjos70,Anjos,3.1,12,8 € for two people (approx.),8,Cash only,type1,Café
O Paraíso 2,Benfica,-,1,12 € for two people (approx.),12,Cash only,type1,Quick Bites
Antónia Petiscos Bairro Alto,Bairro Alto,3.0,17,30 € for two people (approx.),30,Cash and Cards accepted,type1,Casual Dining
Kurika,Moscavide,3.8,33,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Casual Dining
Pastelaria União,Marquês de Pombal,-,3,8 € for two people (approx.),8,Cash and Debit Cards accepted,type1,Pastry Shop
Padaria Arizona,Mem Martins,3.5,12,8 € for two people (approx.),8,Cash only,type1,Pastry Shop
Casa dos Sabores,Alcântara,3.4,6,16 € for two people (approx.),16,Cash and Debit Cards accepted,type1,
O Pião,Campo Pequeno,2.7,17,20 € for two people (approx.),20,Cash and Cards accepted,type1,Casual Dining
Tacho da Memória,Parque das Nações,4.1,40,40 € for two people (approx.),40,Cards only,type1,Casual Dining
Sabores do Churrasco,São Sebastião,3.6,16,16 € for two people (approx.),16,Cash and Debit Cards accepted,type1,Food Court
Café Mar Verde,São João do Estoril,3.4,5,12 € for two people (approx.),12,Cash only,type1,Snack Bar
Avanti Pizzaria e Kebab,São Marcos,-,1,15 € for two people (approx.),15,Cash only,type1,Quick Bites
Bar 501,São Marcos,3.8,16,12 € for two people (approx.) with alcohol,12,Cash and Cards accepted,type1,Bar
Villa Tamariz Utopia,Estoril,4.0,66,40 € for two people (approx.),40,Cash and Cards accepted,type1,Casual Dining
O Túnel da Flamenga,Santo António dos Cavaleiros,3.3,4,15 € for two people (approx.),15,Cash only,type1,Snack Bar
Silvinhas,Cascais Centro,3.0,2,10 € for two people (approx.),10,Cash only,type1,Snack Bar
Restaurante - O Nuno,Mem Martins,3.7,33,27 € for two people (approx.),27,Cash and Cards accepted,type1,Casual Dining
28 Café,Castelo,3.9,90,18 € for two people (approx.),18,Cash and Cards accepted,type1,Quick Bites
Café Pequenino,Ajuda,3.4,5,5 € for two people (approx.),5,Cash only,type1,Snack Bar
Espumantaria do Cais,Cais do Sodré,4.0,210,30 € for two people (approx.) with alcohol,30,Cash and Cards accepted,type1,Cocktail Bar
Wall Street Café,Mem Martins,3.2,2,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Sabor de Amor,Almada Centro,2.2,175,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
Convento dos Doces,Brandoa,3.6,54,8 € for two people (approx.),8,Cash and Debit Cards accepted,type1,Pastry Shop
Café Os Frangueiros,Pena,3.0,1,10 € for two people (approx.),10,Cash only,type1,Snack Bar
Cervejaria Mirante,Pontinha,3.5,15,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
Alpa's Cupcakes,Brandoa,-,3,8 € for two people (approx.),8,Cash and Debit Cards accepted,type1,Kiosk
Segredos das Ilhas,Praça de Espanha,3.4,4,40 € for two people (approx.),40,Cash and Cards accepted,type1,Casual Dining
O Carvoeiro,Alfama,3.6,15,30 € for two people (approx.),30,Cash and Cards accepted,type1,Casual Dining
Pastelaria Toia,Massamá,2.9,36,8 € for two people (approx.),8,Cash and Debit Cards accepted,type1,Pastry Shop
Estrela do Mar,Ericeira,4.4,398,50 € for two people (approx.),50,Cash and Cards accepted,type1,Casual Dining
Pátio do Cuco,Prior Velho,2.8,11,16 € for two people (approx.),16,Cash and Cards accepted,type1,Casual Dining
Cafezada,Olivais,3.0,7,6 € for two people (approx.),6,Cash only,type1,Pastry Shop
Pastelaria Milu,Campo Pequeno,3.8,33,20 € for two people (approx.),20,Cash and Cards accepted,type1,Pastry Shop
Canoa Bar,Charneca de Caparica,-,2,10 € for two people (approx.),10,Cash only,type1,Snack Bar
Leonidas,Alvalade,4.0,45,10 € for two people (approx.),10,Cash and Cards accepted,type1,Dessert Parlor
Cantinho da Parreirinha,Bobadela,-,0,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Blue Bar,Carcavelos,3.2,2,15 € for two people (approx.) with alcohol,15,Cash only,type1,Bar
Molho Bico,Areeiro,3.1,3,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Kenia,Torres Vedras Centro,-,2,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Lucky star,Ericeira,3.7,22,38 € for two people (approx.),38,Cash and Debit Cards accepted,type1,Casual Dining
Baloicinho,Campolide,3.6,18,20 € for two people (approx.),20,Cash and Cards accepted,type1,Pastry Shop
Finger Food Iranian Restaurant,Penha de França,3.4,6,16 € for two people (approx.),16,Cash and Debit Cards accepted,type1,Quick Bites
O Cisne,Bobadela,3.7,14,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
O Sardinha,Alfama,3.7,31,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Os Unidos,Graça,3.5,5,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
Bar do Ricardo,Bairro Alto,2.7,31,25 € for two people (approx.) with alcohol,25,Cash and Cards accepted,type1,Bar
Pisca-Pisca,Oeiras e São Julião da Barra,-,2,12 € for two people (approx.),12,Cash only,type1,Snack Bar
Moules & Beer,Campo de Ourique,4.4,"1,072",40 € for two people (approx.),40,Cash and Debit Cards accepted,type1,Casual Dining
Rialva,Saldanha,3.8,191,6 € for two people (approx.),6,Cash only,type1,Pastry Shop
Croissanteria Prazeres,Rato,3.5,9,12 € for two people (approx.),12,Cash and Debit Cards accepted,type1,Pastry Shop
Bistro Bichomau,Campo de Ourique,3.9,59,45 € for two people (approx.),45,Cash only,type1,Casual Dining
Seara,São Brás,3.8,32,8 € for two people (approx.),8,Cash and Debit Cards accepted,type1,Pastry Shop
A Merendinha,Areeiro,3.1,2,14 € for two people (approx.),14,Cash only,type1,Snack Bar
O Chico,Almada Centro,-,2,15 € for two people (approx.),15,Cash only,type1,Snack Bar
Padeirinha dos Pedernais II,Santo António dos Cavaleiros,-,0,4 € for two people (approx.),4,Cash and Cards accepted,type1,Pastry Shop
Coffee Village - Salão de Chá,Palmela Centro,4.1,60,12 € for two people (approx.),12,Cash only,type1,Tea Room
Nova Morada,Paço de Arcos,3.6,21,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
Be U,Ericeira,3.5,5,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Snack Bar
Al Sultão Doner Kebab,Feijó,3.5,12,14 € for two people (approx.),14,Cash and Debit Cards accepted,type1,Quick Bites
Pastelaria Helsínquia,Alvalade,2.6,52,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Pastry Shop
Quinta Valenciana,Fernão Ferro,-,3,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
Marisqueira da Damaia,Damaia,3.4,8,22 € for two people (approx.),22,Cash and Debit Cards accepted,type1,Casual Dining
Ogaya Asian Cuisine,São Domingos de Benfica,3.8,96,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
Butchers,Parque das Nações,4.6,"2,696",40 € for two people (approx.),40,Cash and Cards accepted,type1,Casual Dining
Pastelaria Imperial,Arroios,3.6,16,15 € for two people (approx.),15,Cash and Debit Cards accepted,type1,Pastry Shop
Kebab House,Arroios,3.4,9,12 € for two people (approx.),12,Cards only,type1,Quick Bites
Ribas Marisqueira,Ericeira,4.2,52,60 € for two people (approx.),60,Cash and Debit Cards accepted,type1,Casual Dining
Panorâmico,Almada Centro,-,0,6 € for two people (approx.),6,Cash and Debit Cards accepted,type1,Pastry Shop
Fiori,Cais do Sodré,3.3,37,10 € for two people (approx.),10,Cash and Cards accepted,type1,Ice-cream Shop
Pastelaria Chaves,Mem Martins,-,0,6 € for two people (approx.),6,Cash only,type1,Quick Bites
A Carla,Olivais,3.6,37,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
Bar Number 2 - É Pra Poncha,Santos,3.9,97,20 € for two people (approx.) with alcohol,20,Cash and Cards accepted,type1,Bar
Salva Vidas,Cais do Sodré,3.7,21,15 € for two people (approx.) with alcohol,15,Cash and Cards accepted,type1,Bar
O Cantinho Restaurante,São Brás,-,2,8 € for two people (approx.),8,Cash and Debit Cards accepted,type1,Quick Bites
Padeirinha da Vila,Algés,3.3,4,6 € for two people (approx.),6,Cash only,type1,Pastry Shop
A Despensa,Birre,2.9,17,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,
Pastelaria Leite Creme,Póvoa de Santo Adrião,-,0,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Napolitana,Casal de Cambra,-,0,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Bianco Nero,Damaia,3.9,259,25 € for two people (approx.),25,Cash only,type1,Casual Dining
A Cervejinha,Casal de Cambra,-,0,10 € for two people (approx.),10,Cash only,type1,Snack Bar
Eclipse,Sacavém,3.6,17,14 € for two people (approx.),14,Cash only,type1,Snack Bar
Petisqueira d'Almada,Almada Centro,3.9,44,25 € for two people (approx.),25,Cash and Cards accepted,type1,Casual Dining
Pisca Pisca,Moscavide,3.4,6,8 € for two people (approx.),8,Cash only,type1,Pastry Shop
Anna's,Lumiar,3.4,8,8 € for two people (approx.),8,Cash and Cards accepted,type1,Casual Dining
Doces & Petiscos,Campo de Ourique,3.7,26,16 € for two people (approx.),16,Cash and Cards accepted,type1,Casual Dining
Pastelaria Guida,Venteira,3.3,4,6 € for two people (approx.),6,Cash only,type1,Snack Bar
A Rampa,Belém,3.5,14,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Snack Bar
Shisha Tea Food,Príncipe Real,3.5,14,15 € for two people (approx.),15,Cash and Cards accepted,type1,Tea Room
Sólarika,Carcavelos,3.4,11,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
Vitta Roma,Areeiro,3.8,47,8 € for two people (approx.),8,Cash and Cards accepted,type1,Pastry Shop
A Galinha Balbina - Empadaria Alentejana,Campo Pequeno,3.4,6,15 € for two people (approx.),15,Cash only,type1,Snack Bar
Vinyl,Alcântara,3.7,29,30 € for two people (approx.),30,Cash and Cards accepted,type1,Casual Dining
Sangiovese,Praça de Espanha,3.9,223,40 € for two people (approx.),40,Cash and Debit Cards accepted,type1,Casual Dining
Sopas Mais,Campo Pequeno,3.2,0,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Snack Bar
Rooftop Mercy Bar - 9Hotel Mercy,Chiado,3.8,20,10 € for two people (approx.) with alcohol,10,Cash and Cards accepted,type1,Bar
Royal Restaurante Lisboa,Parque das Nações,3.8,65,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
Leitaria Anita,Alfama,3.2,2,8 € for two people (approx.),8,Cash only,type1,Snack Bar
China City,Amora,3.9,112,25 € for two people (approx.),25,Cash only,type1,Casual Dining
Boa Nova,Montijo Centro,-,3,12 € for two people (approx.),12,Cash and Debit Cards accepted,type1,Snack Bar
Pastelaria Sophia,Campo Pequeno,3.7,21,8 € for two people (approx.),8,Cash and Debit Cards accepted,type1,Pastry Shop
Flor do Ribatejo,São João da Talha,3.4,6,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Marinheiro,Penha de França,3.1,0,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Alecrim e Manjerona,Oeiras e São Julião da Barra,3.6,13,10 € for two people (approx.),10,Cash and Debit Cards accepted,type1,Snack Bar
Xabú,São Domingos de Benfica,3.2,0,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Ilha Bela,Alvalade,3.4,9,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
Bicho d'Água,Costa da Caparica,3.7,78,30 € for two people (approx.),30,Cash and Cards accepted,type1,Snack Bar
Terra Das Guloseimas,Loures Centro,-,0,6 € for two people (approx.),6,Cash only,type1,Pastry Shop
Casa Velha,Cascais Centro,3.9,57,50 € for two people (approx.),50,Cash and Cards accepted,type1,Casual Dining
Mestre Doce,Parque das Nações,3.3,32,22 € for two people (approx.),22,Cash and Cards accepted,type1,Casual Dining
Lx kebab HOUSE,Bairro Alto,-,3,15 € for two people (approx.),15,Cash only,type1,Quick Bites
O Trevo,Ajuda,3.6,13,12 € for two people (approx.),12,Cash and Cards accepted,type1,Snack Bar
Marcelino Beach Club,Costa da Caparica,4.1,149,30 € for two people (approx.),30,Cash and Cards accepted,type1,Bar
Entre Nós,Entrecampos,4.1,243,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
Pardal,Pontinha,3.4,7,6 € for two people (approx.),6,Cash only,type1,Pastry Shop
Bar Trem Velho,Cascais Centro,3.9,104,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
A Grelha do Nunes,Charneca de Caparica,3.8,27,30 € for two people (approx.),30,Cash only,type1,Casual Dining
York Burguer,Alfama,3.2,15,10 € for two people (approx.),10,Cash only,type1,Snack Bar
Betânia,Marquês de Pombal,3.3,53,28 € for two people (approx.),28,Cash and Cards accepted,type1,Casual Dining
Wok Mundo,Campolide,2.7,127,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
Café Jomar,Porto Salvo,-,3,6 € for two people (approx.),6,Cash only,type1,Snack Bar
Capitão Cook,São Sebastião,4.0,103,25 € for two people (approx.),25,Cards only,type1,Casual Dining
Petisqueira Picapau,Penha de França,3.6,16,14 € for two people (approx.),14,Cash and Debit Cards accepted,type1,Quick Bites
Amorosa,Lumiar,3.0,6,6 € for two people (approx.),6,Cash only,type1,Snack Bar
DuVal,Reboleira,-,0,20 € for two people (approx.),20,Cash only,type1,Casual Dining
Snack-bar L & F,Buraca,-,0,8 € for two people (approx.),8,Cash only,type1,Snack Bar
Ice Gourmet,Praça de Espanha,3.8,117,5 € for two people (approx.),5,Cash and Debit Cards accepted,type1,Ice-cream Shop
Estrela do Minho,Mem Martins,3.7,43,25 € for two people (approx.),25,Cash and Debit Cards accepted,type1,Casual Dining
Siripipi,Carcavelos,3.6,17,8 € for two people (approx.),8,Cash only,type1,Quick Bites
Terraço Clandestino,Belém,-,0,30 € for two people (approx.) with alcohol,30,Cash and Cards accepted,type1,Bar
Calcutá,Bairro Alto,4.0,226,30 € for two people (approx.),30,Cash and Cards accepted,type1,Casual Dining
Kaya,Marquês de Pombal,3.4,4,8 € for two people (approx.),8,Cash only,type1,Café
Tasca Saloia,Sintra Centro,3.3,15,35 € for two people (approx.),35,Cash and Debit Cards accepted,type1,Casual Dining
Stay,Mem Martins,3.0,1,8 € for two people (approx.),8,Cash only,type1,Snack Bar
A Tasquinha dos Lombos,Carcavelos,3.7,31,20 € for two people (approx.),20,Cash and Debit Cards accepted,type1,Casual Dining
O Galito,Carnide,4.3,288,50 € for two people (approx.),50,Cash and Cards accepted,type1,Casual Dining
Bico Amarelo Churrasqueira,Quinta do Conde,3.4,5,20 € for two people (approx.),20,Cash and Cards accepted,type1,
Tabik,Avenida da Liberdade,4.2,198,60 € for two people (approx.),60,Cash and Cards accepted,type1,Fine Dining
Boutique do Pão,Paço de Arcos,-,3,10 € for two people (approx.),10,Cash only,type1,Snack Bar
Cafetaria Rebelo,Benfica,-,0,6 € for two people (approx.),6,Cash only,type1,Snack Bar
